choice	area	users	inc	age0	age1	age2	age3	age4	age5	age6	age7	status	employ	cost1	cost2	cost3	cost4	cost5	avail1	avail2	avail3	avail4	avail5	ones
2	5	1	1	0	0	0	0	0	0	0	1	3	0	5.13	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	4	3	0	2	1	0	2	0	0	0	2	3	15.84	14.34	10.18	1000000	1000000	1	1	1	0	0	1
3	2	2	5	0	0	0	2	0	0	0	0	1	2	42.76	41.26	49.66	1000000	28.28	1	1	1	0	1	1
1	2	1	2	0	0	0	0	0	1	0	0	4	1	3.49	5.78	10.18	1000000	28.28	1	1	1	0	1	1
1	2	1	1	0	0	0	0	0	1	0	0	1	0	4.24	5.78	10.37	1000000	28.28	1	1	1	0	1	1
3	2	2	1	0	1	1	0	1	0	0	0	2	0	5.95	5.78	10.26	1000000	28.28	1	1	1	0	1	1
3	2	1	1	0	0	0	0	0	0	0	1	3	0	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
5	2	5	2	1	1	1	0	1	1	0	0	2	1	99.69	98.19	105.71	1000000	28.28	1	1	1	0	1	1
3	2	1	3	0	0	0	0	0	0	0	1	3	0	6.29	5.78	13.17	1000000	28.28	1	1	1	0	1	1
3	2	3	1	0	1	0	0	1	1	0	0	3	1	4.83	5.78	11.45	1000000	28.28	1	1	1	0	1	1
3	2	1	2	0	0	0	0	0	0	0	1	3	0	4.95	5.78	11.64	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	0	2	0	0	0	2	1	4.88	5.78	11.71	1000000	28.28	1	1	1	0	1	1
1	2	1	2	0	0	0	1	0	0	0	0	1	1	4.75	5.78	11.09	1000000	28.28	1	1	1	0	1	1
5	2	3	5	0	1	0	0	0	1	1	0	4	1	4.27	5.78	10.75	1000000	28.28	1	1	1	0	1	1
3	2	3	2	0	2	0	0	1	0	0	0	4	1	10.54	9.04	17.3	1000000	28.28	1	1	1	0	1	1
3	2	1	3	0	0	0	0	1	0	0	0	1	1	4.27	5.78	10.79	1000000	28.28	1	1	1	0	1	1
3	2	3	4	0	0	0	0	1	2	0	0	2	3	11.48	9.98	14.68	1000000	28.28	1	1	1	0	1	1
2	2	1	4	0	0	0	1	0	0	0	0	1	1	4.07	5.78	10.48	1000000	28.28	1	1	1	0	1	1
1	2	1	1	0	0	0	0	0	0	0	1	3	0	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	4	2	3	0	0	2	0	1	1	0	2	3	24.76	23.26	28.5	1000000	28.28	1	1	1	0	1	1
5	2	3	5	0	0	0	1	0	1	1	0	2	2	25.15	23.65	27.95	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	2	0	0	2	1	3.46	5.78	10.29	1000000	28.28	1	1	1	0	1	1
3	2	1	1	0	0	0	0	0	0	0	1	3	0	3.77	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	4	4	1	2	0	0	2	0	0	0	2	2	10.55	9.05	16.72	1000000	28.28	1	1	1	0	1	1
2	1	1	2	0	0	0	0	0	0	1	0	3	0	8.68	7.18	13.62	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	0	0	0	0	1	4	0	3.42	5.78	12.28	1000000	23.28	1	1	1	0	1	1
2	1	1	2	0	0	0	0	0	0	0	1	4	0	8.74	7.24	13.05	1000000	23.28	1	1	1	0	1	1
3	4	4	3	0	1	1	0	0	2	0	0	2	2	10.89	9.39	12.32	1000000	38.28	1	1	1	0	1	1
5	4	2	5	0	0	0	0	0	2	0	0	2	2	108.74	107.24	106.82	1000000	38.28	1	1	1	0	1	1
3	4	2	5	0	0	0	0	0	0	2	0	2	1	7.93	6.58	10.98	1000000	38.28	1	1	1	0	1	1
5	1	2	3	2	0	0	2	0	0	0	0	2	1	22.1	20.6	27.91	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	0	0	0	0	1	3	0	6.18	5.78	12.28	1000000	23.28	1	1	1	0	1	1
3	1	2	2	0	0	0	0	0	0	0	2	2	0	5.79	5.78	12.48	1000000	23.28	1	1	1	0	1	1
3	1	4	4	0	0	0	2	0	0	2	0	1	2	8.56	7.06	13.03	1000000	23.28	1	1	1	0	1	1
1	1	1	1	0	0	0	0	0	0	0	1	1	0	5.45	5.78	12.28	1000000	23.28	1	1	1	0	1	1
2	1	2	3	0	0	0	2	0	0	0	0	2	1	14	12.5	13.14	1000000	23.28	1	1	1	0	1	1
3	1	2	2	0	0	0	0	0	0	2	0	2	0	19.34	17.84	13.04	1000000	23.28	1	1	1	0	1	1
3	1	2	1	0	0	0	0	0	0	0	2	1	0	4.92	5.78	12.52	1000000	23.28	1	1	1	0	1	1
3	1	4	3	0	2	0	0	1	1	0	0	2	2	12.09	10.59	13.1	1000000	23.28	1	1	1	0	1	1
5	2	3	2	0	0	0	0	1	0	1	1	2	1	25.78	24.28	31.98	1000000	28.28	1	1	1	0	1	1
2	2	2	3	0	0	0	0	0	2	0	0	1	2	5.43	5.78	12.05	1000000	28.28	1	1	1	0	1	1
5	2	2	3	0	0	0	0	0	0	2	0	2	2	7.46	5.96	14.01	1000000	28.28	1	1	1	0	1	1
3	2	1	4	0	0	0	0	0	0	0	1	3	0	3.7	5.78	10.18	1000000	28.28	1	1	1	0	1	1
1	2	2	3	0	0	0	0	2	0	0	0	1	2	10.46	8.96	14.84	1000000	28.28	1	1	1	0	1	1
5	2	2	5	1	0	0	0	2	0	0	0	2	2	14.81	13.31	19.68	1000000	28.28	1	1	1	0	1	1
5	2	1	3	0	0	0	0	0	0	0	1	3	0	23.58	22.08	28.62	1000000	28.28	1	1	1	0	1	1
3	2	1	5	0	0	0	0	0	0	0	1	3	0	6.76	5.78	11.91	1000000	28.28	1	1	1	0	1	1
3	2	5	5	0	0	2	1	0	2	0	0	2	2	7.91	6.41	13.45	1000000	28.28	1	1	1	0	1	1
3	2	6	4	0	0	1	1	0	2	0	2	2	2	13.48	11.98	16.44	1000000	28.28	1	1	1	0	1	1
4	3	2	2	0	0	0	0	0	0	0	2	2	0	13.07	14.87	17.57	10.48	38.28	1	1	1	1	1	1
5	3	2	5	0	0	0	0	2	0	0	0	1	2	105.92	107.4	110.1	82.34	38.28	1	1	1	1	1	1
5	3	3	4	0	0	1	0	0	2	0	0	2	3	433.5	432.8	435.5	433.03	38.28	1	1	1	1	1	1
1	3	2	5	1	0	0	1	1	0	0	0	2	2	13.46	15.05	17.75	19.75	38.28	1	1	1	1	1	1
5	3	2	2	0	0	0	0	0	1	1	0	2	1	140.87	142.39	145.09	139.65	38.28	1	1	1	1	1	1
1	5	1	3	0	0	0	0	1	0	0	0	1	1	4.4	5.78	10.18	1000000	1000000	1	1	1	0	0	1
2	5	1	1	0	0	0	0	0	0	0	1	3	0	4.01	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	3	1	0	0	1	0	0	1	1	0	3	0	8.39	6.89	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	2	0	0	0	0	0	0	0	2	2	0	4.05	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	2	0	0	0	0	0	0	0	2	2	1	3.7	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	4	3	0	1	1	0	0	2	0	0	2	2	20.67	19.17	10.18	1000000	1000000	1	1	1	0	0	1
3	5	1	1	0	0	0	0	0	0	1	0	1	1	5.45	5.78	10.18	1000000	1000000	1	1	1	0	0	1
2	5	2	1	0	0	0	0	0	0	0	2	3	0	5.38	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	2	0	0	0	2	0	0	0	0	2	2	5.66	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	1	1	1	0	0	0	0	0	0	0	1	5	0	4.51	5.78	12.88	1000000	23.28	1	1	1	0	1	1
2	1	2	5	0	0	0	0	1	2	0	0	4	1	7.9	6.4	15.29	1000000	23.28	1	1	1	0	1	1
1	5	3	4	0	0	0	1	0	2	0	0	2	3	10.24	8.74	10.18	1000000	1000000	1	1	1	0	0	1
2	5	1	2	0	0	0	0	0	0	0	1	4	0	7.16	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	4	5	0	0	0	2	0	2	0	0	2	1	7.79	6.29	10.18	1000000	1000000	1	1	1	0	0	1
2	5	2	5	0	0	0	1	1	0	0	0	2	2	7.79	6.29	10.18	1000000	1000000	1	1	1	0	0	1
3	1	3	1	0	0	0	1	0	0	2	0	2	0	15.92	14.42	14.22	1000000	23.28	1	1	1	0	1	1
3	1	6	1	0	0	4	1	0	1	0	0	3	2	15.09	13.59	12.28	1000000	23.28	1	1	1	0	1	1
3	1	1	2	0	0	0	1	0	0	0	0	1	1	9.71	8.21	13.37	1000000	23.28	1	1	1	0	1	1
2	1	5	1	0	2	2	0	1	0	0	1	5	0	3.28	5.78	12.28	1000000	23.28	1	1	1	0	1	1
5	3	6	5	0	2	2	0	1	1	0	0	2	1	55.81	54.31	43.42	42.02	38.28	1	1	1	1	1	1
4	3	1	3	0	0	0	0	1	0	0	0	1	1	6.11	8.61	11.31	11.8	38.28	1	1	1	1	1	1
2	5	2	2	0	0	0	0	0	1	1	0	1	1	7.04	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	1	0	0	0	0	0	0	1	1	2	0	3.56	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	1	0	0	0	0	0	0	0	2	2	0	5.8	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	4	4	1	1	0	0	2	0	0	0	2	1	14.06	12.56	10.18	1000000	1000000	1	1	1	0	0	1
3	3	2	2	0	0	0	2	0	0	0	0	1	0	12.96	11.46	11.03	11.62	38.28	1	1	1	1	1	1
3	5	4	4	0	0	0	2	1	1	0	0	2	2	11.89	10.39	10.18	1000000	1000000	1	1	1	0	0	1
5	2	2	3	0	0	0	0	0	1	1	0	2	2	22.14	20.64	25.86	1000000	28.28	1	1	1	0	1	1
1	2	3	4	0	1	0	0	2	0	0	0	4	2	12.15	10.65	16.6	1000000	28.28	1	1	1	0	1	1
3	2	4	5	0	1	1	1	1	0	0	0	2	2	16.35	14.85	19.85	1000000	28.28	1	1	1	0	1	1
5	2	2	4	0	0	0	0	0	2	0	0	2	2	32.65	31.15	33.11	1000000	28.28	1	1	1	0	1	1
3	2	2	3	2	0	0	2	0	0	0	0	2	1	7.11	5.78	11.93	1000000	28.28	1	1	1	0	1	1
1	2	2	3	0	0	0	2	0	0	0	0	2	2	4.1	5.78	10.37	1000000	28.28	1	1	1	0	1	1
1	2	2	3	1	0	0	2	0	0	0	0	2	2	3.63	5.78	10.18	1000000	28.28	1	1	1	0	1	1
5	2	2	2	1	0	0	1	0	1	0	0	1	2	22.22	20.72	28.12	1000000	28.28	1	1	1	0	1	1
2	2	3	3	1	2	0	0	2	0	0	0	2	1	6.67	5.78	13.33	1000000	28.28	1	1	1	0	1	1
2	2	1	2	1	0	0	0	1	0	0	0	4	1	11.82	10.32	18.3	1000000	28.28	1	1	1	0	1	1
3	2	3	3	0	1	0	0	2	0	0	0	2	2	11.38	9.88	17.86	1000000	28.28	1	1	1	0	1	1
3	2	3	3	2	1	0	0	2	0	0	0	2	1	19.56	18.06	17.58	1000000	28.28	1	1	1	0	1	1
5	2	1	3	0	0	0	0	0	0	1	0	4	1	6.82	5.78	13.58	1000000	28.28	1	1	1	0	1	1
5	2	4	3	0	0	1	2	0	1	0	0	1	3	15.88	14.38	21.54	1000000	28.28	1	1	1	0	1	1
2	2	2	3	2	0	0	2	0	0	0	0	2	1	9.74	8.24	12.51	1000000	28.28	1	1	1	0	1	1
3	1	1	3	0	0	0	0	0	0	1	0	4	1	6.19	5.78	12.28	1000000	23.28	1	1	1	0	1	1
5	1	4	1	0	0	1	0	0	0	1	2	2	1	27.8	26.3	29.46	1000000	23.28	1	1	1	0	1	1
3	1	6	2	1	3	2	0	2	0	0	0	2	1	18.78	17.28	12.52	1000000	23.28	1	1	1	0	1	1
2	1	1	2	0	0	0	0	0	1	0	0	1	1	8.13	6.63	14.24	1000000	23.28	1	1	1	0	1	1
1	1	3	4	0	0	0	0	2	0	1	0	2	2	3.28	5.78	12.28	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	1	0	0	0	0	1	1	13.02	11.52	16.69	1000000	23.28	1	1	1	0	1	1
2	1	1	2	0	0	0	0	0	0	0	2	2	0	7.67	6.17	12.47	1000000	23.28	1	1	1	0	1	1
1	1	1	2	0	0	0	0	0	0	0	1	3	0	3.63	5.78	12.28	1000000	23.28	1	1	1	0	1	1
5	2	2	3	0	0	0	0	1	0	0	1	1	1	38.13	36.63	44.22	1000000	28.28	1	1	1	0	1	1
3	2	3	4	1	1	0	1	2	0	0	0	2	2	5.94	5.78	11.16	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	1	1	0	2	0	12.58	11.08	11.01	1000000	28.28	1	1	1	0	1	1
3	2	6	2	0	0	3	1	1	1	0	0	5	2	14.89	13.39	12.02	1000000	28.28	1	1	1	0	1	1
5	2	1	3	0	0	0	1	0	0	0	0	1	1	5.48	5.78	11.85	1000000	28.28	1	1	1	0	1	1
3	2	1	3	0	0	0	0	1	0	0	0	1	1	4.83	5.78	11.38	1000000	28.28	1	1	1	0	1	1
5	1	1	4	0	0	0	0	0	1	0	0	4	1	24.75	23.25	20.55	1000000	23.28	1	1	1	0	1	1
2	2	2	3	0	0	0	2	0	0	0	0	1	2	45.08	43.58	50.09	1000000	28.28	1	1	1	0	1	1
3	2	1	2	0	0	0	0	0	0	0	1	3	0	3.41	5.78	10.24	1000000	28.28	1	1	1	0	1	1
3	2	1	1	0	0	0	0	0	0	0	1	3	0	4.22	5.78	10.18	1000000	28.28	1	1	1	0	1	1
1	2	1	1	0	0	0	0	0	0	0	1	3	0	3.35	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	1	2	0	0	0	0	0	0	1	0	3	1	4.29	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	0	2	0	2	0	4.3	5.78	11.2	1000000	28.28	1	1	1	0	1	1
3	2	1	1	0	0	0	0	0	0	1	0	3	0	3.75	5.78	10.65	1000000	28.28	1	1	1	0	1	1
3	2	2	1	0	0	0	0	0	0	0	2	2	0	8.37	6.87	14.36	1000000	28.28	1	1	1	0	1	1
3	2	3	2	0	0	0	0	0	0	2	1	2	0	4.11	5.78	10.52	1000000	28.28	1	1	1	0	1	1
3	1	2	2	0	0	0	1	0	1	0	0	3	1	15.16	13.66	12.66	1000000	23.28	1	1	1	0	1	1
1	2	1	2	0	0	0	0	0	0	1	0	4	1	5.29	5.78	10.97	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	0	0	0	0	2	2	1	12.79	11.29	13.05	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	2	0	0	0	0	1	2	6.75	5.78	12.56	1000000	28.28	1	1	1	0	1	1
2	1	2	1	0	0	0	0	0	0	1	1	2	1	6.59	5.78	12.28	1000000	23.28	1	1	1	0	1	1
3	1	2	3	2	0	0	0	2	0	0	0	2	1	20.58	19.08	14.13	1000000	23.28	1	1	1	0	1	1
3	2	4	1	0	1	1	0	2	0	0	0	2	2	3.61	5.78	10.3	1000000	28.28	1	1	1	0	1	1
3	2	3	2	0	0	2	0	0	1	0	0	4	2	5.32	5.78	11.62	1000000	28.28	1	1	1	0	1	1
5	2	4	3	0	0	0	0	2	0	1	1	2	3	11.93	10.43	18.41	1000000	28.28	1	1	1	0	1	1
3	2	1	3	0	0	0	0	2	0	0	0	2	1	8.67	7.17	14.59	1000000	28.28	1	1	1	0	1	1
5	2	6	3	0	0	3	1	0	2	0	0	2	2	37.13	35.63	43.01	1000000	28.28	1	1	1	0	1	1
5	2	4	5	1	2	0	0	2	0	0	0	2	1	33.84	32.34	38.01	1000000	28.28	1	1	1	0	1	1
1	2	1	2	0	0	0	0	0	0	1	0	3	0	3.42	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	5	3	2	2	1	0	0	2	0	0	0	2	1	7.7	6.2	10.18	1000000	1000000	1	1	1	0	0	1
1	5	1	1	0	0	0	0	0	0	0	1	3	0	3.38	5.78	10.18	1000000	1000000	1	1	1	0	0	1
4	3	2	5	0	0	0	0	0	0	0	2	2	1	4.37	6.31	9.01	10.74	38.28	1	1	1	1	1	1
3	3	4	3	0	1	1	0	0	2	0	0	2	2	20.14	18.64	13.65	11.38	38.28	1	1	1	1	1	1
1	3	3	4	0	0	0	0	0	0	3	0	2	1	3.91	5.78	8.48	10.48	38.28	1	1	1	1	1	1
3	3	3	3	0	0	0	0	1	0	1	1	2	1	14.72	13.22	13.41	14.66	38.28	1	1	1	1	1	1
2	3	2	5	1	0	0	0	2	0	0	0	2	1	5.2	5.78	8.48	10.48	38.28	1	1	1	1	1	1
5	1	1	1	0	0	0	0	0	0	0	1	3	0	18.68	17.18	24.14	1000000	23.28	1	1	1	0	1	1
5	1	3	2	1	1	0	0	1	1	0	0	2	1	56.28	54.78	52.21	1000000	23.28	1	1	1	0	1	1
3	1	2	2	0	0	0	0	0	0	0	2	4	1	11.96	10.46	12.74	1000000	23.28	1	1	1	0	1	1
2	1	2	2	0	0	0	0	0	0	2	0	2	1	7.1	5.78	12.41	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	1	0	0	0	0	1	0	5.06	5.78	12.28	1000000	23.28	1	1	1	0	1	1
2	1	2	2	0	0	0	0	1	1	0	0	1	2	11.2	9.7	12.77	1000000	23.28	1	1	1	0	1	1
1	1	4	2	0	0	0	0	1	0	1	2	1	1	8.17	6.67	12.4	1000000	23.28	1	1	1	0	1	1
2	1	2	3	0	0	1	1	0	1	0	0	1	2	13.75	12.25	15.98	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	0	1	0	0	0	1	1	7.13	5.78	14.73	1000000	23.28	1	1	1	0	1	1
3	2	4	5	0	1	1	1	2	0	0	0	1	2	3.87	5.78	10.77	1000000	28.28	1	1	1	0	1	1
3	2	3	5	0	1	0	0	2	0	0	0	2	2	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
1	2	1	2	0	0	0	1	0	0	0	0	1	1	3.73	5.78	10.63	1000000	28.28	1	1	1	0	1	1
5	2	2	4	1	0	0	0	2	0	0	0	2	1	9.94	8.44	16.56	1000000	28.28	1	1	1	0	1	1
3	2	5	4	0	0	1	1	0	2	0	1	2	2	4.68	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	4	0	2	0	0	2	0	0	0	2	2	13.06	11.56	19.89	1000000	28.28	1	1	1	0	1	1
5	2	4	4	0	2	0	0	2	0	0	0	2	2	7.53	6.03	14.43	1000000	28.28	1	1	1	0	1	1
3	2	2	4	0	0	0	1	1	0	0	0	2	2	8.26	6.76	15.16	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	0	1	1	0	0	3	2	7.5	6	14.4	1000000	28.28	1	1	1	0	1	1
3	2	3	4	0	0	0	1	0	2	0	0	1	2	6.19	5.78	13.02	1000000	28.28	1	1	1	0	1	1
5	2	6	5	0	3	2	0	2	0	0	0	2	2	11.48	9.98	18.38	1000000	28.28	1	1	1	0	1	1
2	1	1	1	0	0	0	0	0	0	1	0	3	0	10.76	9.26	18.15	1000000	23.28	1	1	1	0	1	1
2	1	1	3	0	0	0	0	0	1	0	0	4	1	10.7	9.2	12.28	1000000	23.28	1	1	1	0	1	1
2	5	3	4	0	0	0	1	0	2	0	0	1	2	5.03	5.78	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	1	0	0	0	0	0	0	0	2	2	0	8.6	7.1	10.18	1000000	1000000	1	1	1	0	0	1
1	5	2	3	1	0	0	2	0	0	0	0	2	2	7.12	5.78	10.18	1000000	1000000	1	1	1	0	0	1
2	5	1	1	0	0	0	0	0	0	1	0	3	0	10.3	8.8	10.18	1000000	1000000	1	1	1	0	0	1
1	5	1	1	0	0	0	0	0	0	0	1	3	0	7.93	6.43	10.18	1000000	1000000	1	1	1	0	0	1
2	5	1	4	0	0	0	0	0	0	1	0	4	1	5.2	5.78	10.18	1000000	1000000	1	1	1	0	0	1
3	5	2	2	0	0	0	1	1	0	0	0	1	2	11.6	10.1	10.18	1000000	1000000	1	1	1	0	0	1
3	5	4	2	2	2	2	1	1	0	0	0	2	1	25.01	23.51	10.18	1000000	1000000	1	1	1	0	0	1
3	2	2	2	0	0	0	0	0	0	0	2	2	0	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
2	2	2	4	0	0	0	0	0	2	0	0	4	2	7.89	6.39	14.06	1000000	28.28	1	1	1	0	1	1
3	2	2	2	1	0	0	0	2	0	0	0	2	2	3.42	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	0	0	2	0	0	2	2	4.75	5.78	11.37	1000000	28.28	1	1	1	0	1	1
1	2	2	3	0	0	0	0	0	0	0	2	2	0	5.57	5.78	12.12	1000000	28.28	1	1	1	0	1	1
3	2	2	3	0	0	0	0	0	0	2	0	2	1	6.18	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	1	1	0	0	2	0	0	0	0	2	0	4.55	5.78	10.43	1000000	28.28	1	1	1	0	1	1
3	2	2	1	0	0	0	0	0	0	1	1	2	0	10.4	8.9	13.98	1000000	28.28	1	1	1	0	1	1
3	2	2	1	0	0	0	0	0	1	0	0	4	0	14.79	13.29	19.87	1000000	28.28	1	1	1	0	1	1
3	2	3	1	0	1	0	1	1	0	0	0	2	1	4.87	5.78	11.56	1000000	28.28	1	1	1	0	1	1
1	1	1	1	0	0	0	0	0	0	1	0	5	0	6.36	5.78	12.4	1000000	23.28	1	1	1	0	1	1
2	1	2	1	0	0	0	0	0	0	0	2	2	0	5.78	5.78	13.42	1000000	23.28	1	1	1	0	1	1
1	1	2	4	0	0	0	0	0	1	1	0	2	1	8.6	7.1	13.69	1000000	23.28	1	1	1	0	1	1
5	1	4	5	0	0	0	2	2	0	0	0	2	3	28.43	26.93	33.3	1000000	23.28	1	1	1	0	1	1
1	1	1	2	0	0	0	0	0	1	0	0	1	1	5.03	5.78	12.52	1000000	23.28	1	1	1	0	1	1
2	1	1	2	0	0	0	0	0	1	0	0	4	1	11.35	9.85	12.9	1000000	23.28	1	1	1	0	1	1
1	5	2	3	0	0	0	0	0	0	1	1	3	1	7.36	5.86	8.48	1000000	1000000	1	1	1	0	0	1
3	5	1	1	0	0	0	0	0	0	1	0	3	0	8.21	6.71	8.48	1000000	1000000	1	1	1	0	0	1
2	5	1	3	0	0	0	0	1	0	0	0	1	1	5.61	5.78	8.48	1000000	1000000	1	1	1	0	0	1
2	5	1	3	0	0	0	0	0	0	1	0	4	1	8.1	6.6	8.48	1000000	1000000	1	1	1	0	0	1
1	5	2	4	0	0	0	0	2	0	0	0	2	2	5.27	5.78	8.48	1000000	1000000	1	1	1	0	0	1
3	5	1	2	0	0	0	0	1	0	0	0	1	1	3.7	5.78	8.48	1000000	1000000	1	1	1	0	0	1
5	1	3	4	0	0	0	0	0	0	2	1	2	1	16	14.5	17.51	1000000	23.28	1	1	1	0	1	1
5	1	2	1	0	1	0	2	0	0	1	0	3	2	44.17	42.67	36.44	1000000	23.28	1	1	1	0	1	1
2	1	1	1	0	0	0	0	0	0	1	0	4	0	9.59	8.09	12.28	1000000	23.28	1	1	1	0	1	1
2	1	4	2	0	0	0	2	0	2	0	2	2	1	6.41	5.78	12.54	1000000	23.28	1	1	1	0	1	1
3	1	2	1	0	0	0	0	0	0	2	0	2	0	6.24	5.78	12.42	1000000	23.28	1	1	1	0	1	1
5	1	5	5	0	0	1	2	0	2	0	0	2	3	36.63	35.13	15.96	1000000	23.28	1	1	1	0	1	1
2	1	1	3	0	0	0	0	0	1	0	0	1	0	5.17	5.78	12.28	1000000	23.28	1	1	1	0	1	1
2	1	3	1	0	1	1	0	0	1	0	0	4	1	6.95	5.78	12.28	1000000	23.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	0	0	2	2	0	5.2	5.78	12.1	1000000	28.28	1	1	1	0	1	1
2	2	1	3	0	0	0	0	0	1	0	0	1	1	3.56	5.78	10.18	1000000	28.28	1	1	1	0	1	1
1	2	2	3	0	0	0	0	0	0	0	2	2	0	5.19	5.78	11.95	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	0	1	1	2	1	3.7	5.78	10.18	1000000	28.28	1	1	1	0	1	1
5	2	6	4	0	0	2	2	0	1	1	0	2	3	20.96	19.46	23.41	1000000	28.28	1	1	1	0	1	1
3	2	2	1	0	0	0	0	0	0	1	1	1	0	3.28	5.78	10.18	1000000	28.28	1	1	1	0	1	1
3	2	2	2	0	0	0	0	0	0	0	2	2	0	5.36	5.78	11.63	1000000	28.28	1	1	1	0	1	1
1	2	5	3	2	1	0	0	2	0	0	0	2	2	7	5.78	13.45	1000000	28.28	1	1	1	0	1	1
5	2	1	1	0	0	0	0	0	0	0	2	2	0	4.82	5.78	11.65	1000000	28.28	1	1	1	0	1	1
5	2	2	5	0	0	0	0	2	0	0	0	2	2	8.98	7.48	14.55	1000000	28.28	1	1	1	0	1	1
3	1	2	1	0	0	0	0	0	0	1	1	2	1	11.75	10.25	12.28	1000000	23.28	1	1	1	0	1	1
3	1	4	1	0	0	3	0	0	1	0	0	5	0	20.69	19.19	13.07	1000000	23.28	1	1	1	0	1	1
